hair_loss,patchy_loss,diffuse_thinning,frontal_recession,crown_thinning,itching,oily_scalp,dryness,redness,dandruff,white_scales,greasy_flakes,stress_event,family_history,hormonal_changes,fatigue,brittle_hair,weight_loss,autoimmune_history,thinning,disease
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,healthy
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,healthy
1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,androgenetic_alopecia
0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,psoriasis
1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,androgenetic_alopecia
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,dry_scalp
0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,seborrheic_dermatitis
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,psoriasis
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,inconclusive
0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,seborrheic_dermatitis
1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,androgenetic_alopecia
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,alopecia_areata
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,dry_scalp
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,androgenetic_alopecia
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,alopecia_areata
0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,seborrheic_dermatitis
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,alopecia_areata
1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,seborrheic_dermatitis
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,dry_scalp
0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,psoriasis
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,healthy
0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,psoriasis
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,dry_scalp
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,healthy
0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,seborrheic_dermatitis
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,androgenetic_alopecia
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,alopecia_areata
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,dry_scalp
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,healthy
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,dry_scalp
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,telogen_effluvium
1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,androgenetic_alopecia
0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,dry_scalp
0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,seborrheic_dermatitis
1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,androgenetic_alopecia
1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,androgenetic_alopecia
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,healthy
0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,seborrheic_dermatitis
1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,inconclusive
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,healthy
1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,telogen_effluvium
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,alopecia_areata
1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,telogen_effluvium
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,alopecia_areata
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,dry_scalp
0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,psoriasis
0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,seborrheic_dermatitis
0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,dry_scalp
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,dry_scalp
